URLSimilarityIndex,SpacialCharRatioInURL,IsHTTPS,DomainTitleMatchScore,URLTitleMatchScore,IsResponsive,HasDescription,HasSocialNet,HasSubmitButton,HasCopyrightInfo,label
32.3627727,0.079,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
100.0,0.038,1.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,1
100.0,0.045,1.0,100.0,100.0,1.0,1.0,1.0,0.0,1.0,1
77.23952326,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
59.57142857,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.087,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1
100.0,0.061,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1
80.72727273,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.053,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.05,1.0,100.0,100.0,1.0,0.0,1.0,1.0,1.0,1
58.50340136,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
44.375,0.121,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
32.404258,0.042,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.04,1.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,1
68.14814815,0.053,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.043,1.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1
100.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.043,1.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1
62.81179138,0.071,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
100.0,0.067,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1
49.63235294,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
72.72727273,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.074,1.0,100.0,100.0,1.0,1.0,1.0,0.0,1.0,1
100.0,0.05,1.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1
4.691745288,0.054,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
100.0,0.091,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1
100.0,0.043,1.0,100.0,100.0,1.0,1.0,0.0,0.0,1.0,1
57.41496599,0.045,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
100.0,0.045,1.0,100.0,100.0,0.0,1.0,1.0,0.0,0.0,1
100.0,0.033,1.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1
100.0,0.034,1.0,100.0,100.0,0.0,1.0,1.0,1.0,1.0,1
100.0,0.032,1.0,100.0,100.0,1.0,1.0,0.0,1.0,1.0,1
87.15277778,0.053,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.053,1.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1
100.0,0.038,1.0,100.0,100.0,0.0,1.0,1.0,0.0,1.0,1
52.02216066,0.107,1.0,6.666666667,6.666666667,0.0,0.0,0.0,0.0,0.0,0
22.33401033,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.042,1.0,100.0,100.0,1.0,0.0,0.0,0.0,1.0,1
22.53963415,0.229,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.04,1.0,100.0,100.0,1.0,0.0,0.0,1.0,1.0,1
100.0,0.08,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
43.6335744,0.059,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.042,1.0,100.0,100.0,1.0,1.0,0.0,0.0,1.0,1
45.9452496,0.111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.045,1.0,100.0,100.0,1.0,0.0,0.0,1.0,1.0,1
100.0,0.083,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1
100.0,0.067,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1
80.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.031,1.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1
34.81864096,0.058,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
54.44444444,0.13,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
75.55147059,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
41.66314252,0.13,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
58.2972583,0.033,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0
15.66146674,0.083,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.032,1.0,100.0,100.0,1.0,0.0,1.0,0.0,1.0,1
54.30139134,0.111,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
100.0,0.045,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
100.0,0.045,1.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1
100.0,0.056,1.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,1
13.90788088,0.045,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0
36.52304467,0.104,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.061,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
100.0,0.059,1.0,100.0,100.0,1.0,1.0,1.0,0.0,1.0,1
100.0,0.043,1.0,100.0,100.0,0.0,1.0,0.0,0.0,1.0,1
100.0,0.032,1.0,100.0,100.0,0.0,1.0,1.0,1.0,0.0,1
61.51388889,0.121,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
62.07264957,0.043,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0
75.53081839,0.032,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
38.14338235,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.056,1.0,75.0,75.0,1.0,1.0,1.0,1.0,1.0,1
22.48870157,0.149,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.077,1.0,100.0,100.0,1.0,1.0,1.0,0.0,1.0,1
100.0,0.031,1.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1
37.35819152,0.091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
72.45179063,0.056,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.034,1.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1
100.0,0.045,1.0,100.0,100.0,1.0,1.0,0.0,0.0,1.0,1
100.0,0.034,1.0,100.0,100.0,1.0,1.0,1.0,1.0,0.0,1
100.0,0.036,1.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1
100.0,0.08,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1
100.0,0.034,1.0,100.0,100.0,1.0,0.0,0.0,1.0,1.0,1
62.53443526,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.043,1.0,100.0,100.0,1.0,1.0,1.0,1.0,0.0,1
100.0,0.042,1.0,100.0,100.0,1.0,0.0,1.0,1.0,0.0,1
100.0,0.038,1.0,100.0,100.0,1.0,1.0,1.0,0.0,0.0,1
31.86305846,0.111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
43.10249307,0.074,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9.685021178,0.177,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
26.68513389,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
57.85123967,0.118,0.0,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0
100.0,0.05,1.0,100.0,100.0,0.0,0.0,1.0,1.0,1.0,1
69.25207756,0.034,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0
35.14739229,0.106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
55.36770921,0.043,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0
58.28254848,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
68.47645429,0.033,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0
55.16698173,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
25.28293345,0.054,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
100.0,0.043,1.0,100.0,100.0,1.0,1.0,0.0,1.0,0.0,1
52.20541903,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.043,1.0,100.0,100.0,1.0,0.0,1.0,0.0,1.0,1
72.18973359,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.038,1.0,100.0,100.0,1.0,0.0,1.0,1.0,1.0,1
100.0,0.036,1.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1
100.0,0.074,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1
100.0,0.033,1.0,100.0,100.0,1.0,0.0,1.0,0.0,1.0,1
82.09366391,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.031,1.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1
100.0,0.04,1.0,100.0,100.0,1.0,1.0,1.0,0.0,0.0,1
58.44444444,0.08,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0
16.6984127,0.095,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
72.10884354,0.042,0.0,80.0,80.0,1.0,0.0,0.0,0.0,0.0,0
100.0,0.074,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1
54.12728418,0.094,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0
41.62962963,0.113,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
100.0,0.031,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
100.0,0.045,1.0,100.0,100.0,1.0,0.0,1.0,1.0,1.0,1
81.81818182,0.048,0.0,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0
100.0,0.048,1.0,100.0,100.0,1.0,0.0,1.0,0.0,1.0,1
100.0,0.048,1.0,100.0,100.0,1.0,0.0,1.0,0.0,1.0,1
100.0,0.033,1.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1
100.0,0.083,1.0,90.0,90.0,1.0,1.0,1.0,0.0,1.0,1
100.0,0.042,1.0,100.0,100.0,0.0,0.0,1.0,0.0,1.0,1
100.0,0.071,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1
100.0,0.037,1.0,100.0,100.0,1.0,0.0,1.0,1.0,1.0,1
12.4004884,0.143,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0
33.39648119,0.108,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
100.0,0.038,1.0,100.0,100.0,1.0,0.0,1.0,1.0,1.0,1
14.39137549,0.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
65.17094017,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.042,1.0,100.0,100.0,0.0,0.0,1.0,1.0,1.0,1
100.0,0.043,1.0,100.0,100.0,1.0,1.0,0.0,1.0,1.0,1
100.0,0.071,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1
100.0,0.045,1.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1
100.0,0.04,1.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1
49.18084436,0.065,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.08,1.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1
100.0,0.048,1.0,100.0,100.0,1.0,1.0,0.0,0.0,1.0,1
100.0,0.067,1.0,100.0,100.0,1.0,1.0,0.0,0.0,1.0,1
54.5,0.083,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.034,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
66.23931624,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.061,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1
74.67948718,0.087,0.0,100.0,100.0,1.0,0.0,0.0,1.0,0.0,0
18.23526993,0.115,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
100.0,0.05,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0
80.72727273,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26.35827664,0.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
40.96398249,0.098,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.029,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1
71.71717172,0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.034,1.0,100.0,100.0,1.0,1.0,0.0,1.0,1.0,1
100.0,0.036,1.0,84.61538462,84.61538462,1.0,1.0,1.0,1.0,1.0,1
100.0,0.037,1.0,100.0,100.0,1.0,0.0,1.0,1.0,1.0,1
100.0,0.031,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
57.59323337,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.033,1.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1
8.513071895,0.065,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.053,1.0,100.0,100.0,1.0,0.0,1.0,1.0,1.0,1
100.0,0.04,1.0,100.0,100.0,1.0,1.0,1.0,0.0,1.0,1
100.0,0.087,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1
56.23427955,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
34.62195122,0.106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18.67738041,0.073,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.053,1.0,100.0,100.0,0.0,0.0,1.0,0.0,1.0,1
100.0,0.086,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1
100.0,0.034,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1
78.0952381,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
